Esquema,Conservabilidade
11111111,True
11111112,True
11111211,False
11111212,False
11121121,False
11121122,False
11121221,True
11121222,True
11211111,True
11211112,True
11211211,False
11211212,False
11221121,False
11221122,False
11221221,True
11221222,True
12112111,True
12112112,True
12112211,True
12112212,True
12122121,False
12122122,False
12122221,True
12122222,True
12212111,True
12212112,True
12212211,False
12212212,False
12222121,False
12222122,False
12222221,True
12222222,True
21111111,True
21111112,True
21111211,False
21111212,False
21121121,False
21121122,False
21121221,True
21121222,True
21211111,True
21211112,True
21211211,False
21211212,False
21221121,False
21221122,False
21221221,True
21221222,True
22112111,True
22112112,True
22112211,True
22112212,True
22122121,False
22122122,False
22122221,True
22122222,True
22212111,True
22212112,True
22212211,False
22212212,False
22222121,False
22222122,False
22222221,True
11111213,False
11111312,False
11121123,False
11121223,True
11121321,False
11121322,False
11121323,False
11131132,False
11131231,False
11131232,False
11131233,False
11131332,True
11211113,True
11211213,False
11211311,False
11211312,False
11211313,False
11221123,False
11221223,True
11221321,False
11221322,False
11221323,False
11231131,False
11231132,False
11231133,False
11231231,False
11231232,False
11231233,False
11231331,True
11231332,True
11231333,True
11311112,True
11311211,False
11311212,False
11311213,False
11311312,False
11321121,False
11321122,False
11321123,False
11321221,True
11321222,True
11321223,True
11321321,False
11321322,False
11321323,False
11331132,False
11331231,False
11331232,False
11331233,False
11331332,True
12112113,True
12112213,True
12112311,False
12112312,False
12112313,False
12122123,False
12122223,True
12122321,False
12122322,False
12122323,False
12132131,False
12132132,False
12132133,False
12132231,False
12132232,False
12132233,False
12132331,True
12132332,True
12132333,True
12212113,True
12212213,False
12212311,False
12212312,False
12212313,False
12222123,False
12222223,True
12222321,False
12222322,False
12222323,False
12232131,False
12232132,False
12232133,False
12232231,False
12232232,False
12232233,False
12232331,True
12232332,True
12232333,True
12312111,True
12312112,True
12312113,True
12312211,True
12312212,True
12312213,True
12312311,False
12312312,False
12312313,False
12322121,False
12322122,False
12322123,False
12322221,True
12322222,True
12322223,True
12322321,False
12322322,False
12322323,False
12332131,False
12332132,False
12332133,False
12332231,False
12332232,False
12332233,False
12332331,True
12332332,True
12332333,True
13113112,True
13113211,True
13113212,True
13113213,True
13113312,True
13123121,False
13123122,False
13123123,False
13123221,True
13123222,True
13123223,True
13123321,True
13123322,True
13123323,True
13133132,False
13133231,False
13133232,False
13133233,False
13133332,True
13213111,True
13213112,True
13213113,True
13213211,False
13213212,False
13213213,False
13213311,False
13213312,False
13213313,False
13223121,False
13223122,False
13223123,False
13223221,True
13223222,True
13223223,True
13223321,True
13223322,True
13223323,True
13233131,False
13233132,False
13233133,False
13233231,False
13233232,False
13233233,False
13233331,True
13233332,True
13233333,True
13313112,True
13313211,False
13313212,False
13313213,False
13313312,False
13323121,False
13323122,False
13323123,False
13323221,True
13323222,True
13323223,True
13323321,False
13323322,False
13323323,False
13333132,False
13333231,False
13333232,False
13333233,False
13333332,True
21111113,True
21111213,False
21111311,False
21111312,False
21111313,False
21121123,False
21121223,True
21121321,False
21121322,False
21121323,False
21131131,False
21131132,False
21131133,False
21131231,False
21131232,False
21131233,False
21131331,True
21131332,True
21131333,True
21211113,True
21211213,False
21211311,False
21211312,False
21211313,False
21221123,False
21221223,True
21221321,False
21221322,False
21221323,False
21231131,False
21231132,False
21231133,False
21231231,False
21231232,False
21231233,False
21231331,True
21231332,True
21231333,True
21311111,True
21311112,True
21311113,True
21311211,False
21311212,False
21311213,False
21311311,False
21311312,False
21311313,False
21321121,False
21321122,False
21321123,False
21321221,True
21321222,True
21321223,True
21321321,False
21321322,False
21321323,False
21331131,False
21331132,False
21331133,False
21331231,False
21331232,False
21331233,False
21331331,True
21331332,True
21331333,True
22112113,True
22112213,True
22112311,False
22112312,False
22112313,False
22122123,False
22122223,True
22122321,False
22122322,False
22122323,False
22132131,False
22132132,False
22132133,False
22132231,False
22132232,False
22132233,False
22132331,True
22132332,True
22132333,True
22212113,True
22212213,False
22212311,False
22212312,False
22212313,False
22222123,False
22222321,False
22232131,False
22232132,False
22232133,False
22232231,False
22232331,True
22312111,True
22312112,True
22312113,True
22312211,True
22312212,True
22312213,True
22312311,False
22312312,False
22312313,False
22322121,False
22322122,False
22322123,False
22322221,True
22322321,False
22332131,False
22332132,False
22332133,False
22332231,False
22332331,True
23113111,True
23113112,True
23113113,True
23113211,True
23113212,True
23113213,True
23113311,True
